Notional_Amount_Local_Currency,Trade_Vendor_ID_Original,Issue_Currency,Fitch_Short_Term_Rating_Date,Broker_Commission_Amount_Local_Currency,Contract_Size,ICB_Supersector_Description,GICS_Sub_Industry_Description,GICS_Industry_Group_Code,Lag_Days,Vanguard_ID_VID,VICS_L4_Name,Original_Cost_Base_Currency,Trade_Reason,Amortization_Value_Local_Currency,Cash_Transaction_Purpose_code,Vanguard_Transaction_Code,Bloomberg_Industry_Sector_Code,Foreign_Tax__Base_Currency,Barclays_L1_Description,Security_Main_Type,Barclays_L2_Description,Barclays_L4_Description,Corporate_Action_Type,Settlement_Date,Barclays_L3_Description,State_Code,Advisor_ID,Market_Identification_Code_MIC,Amortization_Value_Base_Currency,Final_Maturity,Executing_Broker_Code,Contra_Currency,Cancelled_Indicator,GICS_Industry_Code,Par_Amount,Russell_Subsector_Description,Position_OpenClose_Indicator,Field_144A_Flag,CRD_Alloc_ID,Fitch_Short_Term_Rating_Code,Accrued_Interest_Base_Currency,Issue_Price,Parent_Contract_ID_VID,Primary_Asset_ID,Russell_Industry_Description,Order_Reference_ID,Interest_Prepaid_Gross_Settlement,Broker_Commission_Type_Code,Cash_Transaction_Purpose_Description,Clearing_House,Coupon_Rate_Type,Dated_Date,Escrowed_to_Maturity_Date,Next_Coupon_Date,Security_Short_Description,Prerefunded_Price,Corporate_Action_Factor,Bloomberg_Industry_Subgroup_Code,Commission_Rate,Ticker,Bloomberg_Industry_Group_Code,Fund_ID,Transaction_Interval_Batch_Type,Tax_Status,Original_Cost_Local_Currency,GICS_Industry_Description,Exchange_Rate_Settlement_to_Base,GainLoss_Local_Currency,CRD_Sec_ID,Sleeve_ID,Bloomberg_Industry_Subgroup_Description,Account_Type,Income_Accrual_Settlement_Currency,Corporate_Action_Type_Code,VICS_L2_Code,External_Transaction_ID,Principal_Base_Currency,Collateral_Units,Additional_Transaction_Fee_Type_2,Additional_Transaction_Fee_Type_1,Port_ID,Additional_Transaction_Fee_Type_4,FX_Purchased_Currency,Additional_Transaction_Fee_Type_3,Additional_Transaction_Fee_Type_6,SP_Short_Term_Rating,Additional_Transaction_Fee_Type_5,OCC_Options_Clearing_Corporation_ID,Russell_Subsector_Code,Price_Base_Currency,Corporate_Action_Market_Value_Local_Currency,Next_Call_Date,Percentage_Foreign_Tax,First_Coupon_Date,CINS,ICB_Supersector_Code,Security_End_Date,Investment_Type,Underlying_ID,SP_Long_Term_Rating,PutCall_Flag,Net_Settle_Amount__Base_Currency,Strategy_Code,Bloomberg_Country_of_Risk,CUSIP,Clearing_Broker_Code,CRIMS_CUSIP,Vanguard_Issuer_ID_VEI,Corporate_Action_Other_Side_Security,ICB_Subsector_Description,Russell_Industry_Code,Previous_External_ID,GICS_Sector_Description,VICS_L1_Code,Moody_Long_Term_Rating,Base_Currency,Pay_Currency_Code,Net_Settle_Amount_Settlement_Currency,PFIC_Indicator,Russell_Sector_Code,Russell_Sector_Description,Next_Rate_Change_Date,Transaction_Coupon_Rate,Foreign_Tax_Income_Currency,NAICS_Code,GainLoss_Base_Currency,Next_Call_Price,RIC_Code,Prerefunded_Type,Conversion_Ratio,Notional_Amount_Base_Currency,Long_Short_Indicator,Expiration_Date,SEDOL5,SIC_Code,Blackrock_Cusip,Blackrock_Security_Type,SEDOL3,SEDOL4,Next_Put_Date,SEDOL1,Parent_Co_ID,SEDOL2,Brokerage_Amount__Base_Currency,Corporate_Action_Subtype,Effective_Date,Corporate_Action_Sub_Type_Code,Rate_Change_Frequency,ICB_Subsector_Code,Bloomberg_Industry_Sector_Description,LoanX_ID,Option_Standard_Identifier_OPRA_ID,Bloomberg_Issuer_Industry_Code,SP_Short_Term_Rating_Date,ICB_Industry_Code,MSCI_Country_of_Risk,FIGI_ID,Universal_Swap_Identifier_USI,Country_of_Incorporation,Net_Trade_Amount__Base_Currency,Trade_Vendor_Source_Code,File_Effective_Date,Accrual_Method,Post_Reverse_Date_Time,SP_Long_Term_Rating_Date,Additional_Transaction_Fee_Amount_4,Additional_Transaction_Fee_Amount_3,Ultimate_Parent_Co_ID,Additional_Transaction_Fee_Amount_2,Blackrock_Security_Group,Additional_Transaction_Fee_Amount_1,Bloomberg_Issuer_Industry_Description,DTC_CUSIP,VICS_L3_Name,Coupon_Rate,Barclays_L4_Classification_Code,Corporate_Action_Market_Value_Base_Currency,Contract_Type,FTSE_Country_of_Risk,FX_Sold_Amount_Base_Currency,ICB_Industry_Description,Additional_Transaction_Fee_Amount_6,Additional_Transaction_Fee_Amount_5,Prerefunded_Date,Leg_Type_Code,Barclays_Level_3_Classification_Code,Issue_Date,Principal_Or_Agent_Code,Accrued_Interest_Local_Currency,Account_Name,VICS_L1_Name,Moody_Short_Term_Rating,FX_Purchased_Amount_Base_Currency,Trade_Date,Receive_Currency_Code,ICB_Sector_Code,Exchange_Code,Primary_Asset_ID_Type,Muni_Type,Bond_Payment_Frequency,Field_42_CP_Indicator,Maturity_Date,Coupon_Currency,Settlement_Currency,Percentage_Foreign_Tax_Reclaimable,Trade_Currency,Bloomberg_ISO_Country,Original_Face_Value,Barclays_Level_1_Classification_Code,Bloomberg_Security_Type,ICB_Sector_Description,Fitch_Long_Term_Rating_Code,Trade_Vendor_Source_Name,VICS_L3_Code,Net_Trade_Amount_Trade_Currency,GICS_Sub_Industry_Code,GICS_Industry_Group_Description,Exchange_Rate_Trade_to_Settlement,Transaction_Type_Description_Code,Trade_Block_ID,Moody_Short_Term_Rating_Date,Barclays_Level_2_Classification_Code,Cancel_Status,Dividend_Currency,Price,Exchange_Rate_Trade_to_Base,Illiquid_Security,Bloomberg_Industry_Group_Description,FX_Sold_Currency,Shares_Outstanding,Principal_Local_Currency,Vanguard_Cash_Type,FX_Purchased_Amount,Transaction_Type_Description,Issuer_Name,Fitch_Long_Term_Rating_Date,FX_Sold_Amount,Bloomberg_Security_Type_2,Moody_Long_Term_Rating_Date,Yield_at_Cost,Primary_Trading_Currency,Counterparty,Strike_Price,Accrued_Interest_Days,VICS_L2_Name,VICS_L4_Code,NX_Security_Type,Quantity,ISIN,Transaction_DateTime_Stamp,LEI,Cancel_Date,Bloomberg_Deal_ID,GICS_Sector_Code,Security_Long_Description
0.0,,USD,,,,,,,,,,,,,MARGIN,,,,,,,,,2022-07-11,,,AAFX,,,,,,,,,,,,,,,,,MARGINUSD,,,,,,,,,,,Synthetic Cash - MARGIN US Dollar,,,,,,,9811,EOD,,,,1.0,,,,,A,,,,85078362_2,,,,,AAFX,,,,,,,,,1.0,0.0,,,,,,,CASH,,,,8861.63,,,,,,,,,,,,,,USD,USD,8861.63,,,,,,,,,,,,,0.0,L,,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,8861.63,CALYPSO,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,Explorer-Vanguard,,,,2022-07-11,USD,,,NXCASHID,,,,,USD,USD,,USD,,,,,,,Calypso,,8861.63,,,,CSH2MGN,,,,,USD,1.0,1.0,,,,,,,,Margin (Transfer Cash to Margin),,,,,,,USD,,,,,,RF.CUR,8861.63,,2022-07-11,,,,,Synthetic Cash - MARGIN US Dollar
0.0,,USD,,,,,,,,,,,,,,,,,,,,,,2022-07-12,,,AAAX,,,,,,,,,,,,,,,,,CASHUSD,,,,,,,,,,,US Dollar,,,,,USD,,9811,EOD,,,,1.0,,,,,A,,,,85087537_2,,,,,AAAX,,,,,,,,,1.0,0.0,,,,,,,CASH,,,,-492201.95,,,,,,,,,,,,,,USD,USD,-492201.95,,,,,,,,,,,,,0.0,L,,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,-492201.95,ICAP,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,Explorer-Cash,,,,2022-07-11,USD,,,CASH,,,,,USD,USD,,USD,US,,,,,,ICAP,,-492201.95,,,,REDEMPTION,,,,,USD,1.0,1.0,,,,,,,,Redemption,,,,,,,USD,,,,,,CRNY,-492201.95,,2022-07-11,,,,,US Dollar
-1780.0,,USD,,,5.0,,,,,V1031412501,,,,,MARGIN,,,,,DE,,,,2022-07-11,,,ABGS,XCME,,,,,,,,,,,,,,,,V1031412501,,,,,,,,,,,SP500 MIC EMIN FUTSep22,,,,,HWAU2,,A215,EOD,,,,1.0,,,,,A,,,,85071894_2,,,,,ABGS,,,,,,,,,1.0,0.0,,,,,,,FT,V1031412501,,,-1780.0,,,,,,VEI0056022,,,,,,,,USD,USD,-1780.0,,,,,,,,,,,,,-1780.0,L,2022-09-16,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,US,-1780.0,SMARTCO,,,,,,,VEI0056022,,,,,,,,,0.0,,,,,,,,,,2021-06-18,,,AV-Global Momentum Factor,,,,2022-07-11,USD,,XCME,VID,,,N/A,,,USD,,USD,,,,Physical index future.,,,SmartCo,,-1780.0,,,,MARGIN2,,,,,,1.0,1.0,,,,,,,,Margin Variation (Margin),Micro E-mini S&P 500 futures,,,,,,USD,,,,,,DE.IND,-356.0,,2022-07-11,,,132231995,,SP500 MIC EMIN FUTSep22
-228750.0,,USD,,,50.0,,,,,V1031984201,,,,,MARGIN,,,,,DE,,,,2022-07-11,,,AAFX,XCME,,,,,,,,,,,,,,,,V1031984201,,,,,,,,,,,E-Mini Russ 2000  Sep22,,,,,RTYU2,,9811,EOD,,,,1.0,,,,,A,,,,85071751_2,,,,,AAFX,,,,,,,,,1.0,0.0,,,,,,,FT,V1031984201,,,-228750.0,,,,,,VEI0030493,,,,,,,,USD,USD,-228750.0,,,,,,,,,,,,,-228750.0,L,2022-09-16,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,-228750.0,SMARTCO,,,,,,,VEI0030493,,,,,,,,,0.0,,,,,,,,,,2021-06-18,,,Explorer-Vanguard,,,,2022-07-11,USD,,XCME,VID,,,N/A,,,USD,,USD,,,,Physical index future.,,,SmartCo,,-228750.0,,,,MARGIN2,,,,,,1.0,1.0,,,,,,,,Margin Variation (Margin),CME E-mini Russell 2000 Index Futures,,,,,,USD,,,,,,DE.IND,-4575.0,,2022-07-11,,,,,E-Mini Russ 2000  Sep22
0.0,,USD,,,,,,,,,,,USPO Cash W/O,,,,,,,,,,,2022-07-11,,,AAIJ,,,,,,,,,,,,,,,,,CASHUSD,,,,,,,,,,,US Dollar,,,,,USD,,A028,EOD,,,,1.0,,,,,A,,,,85086629_2,,,,,AAIJ,,,,,,,,,1.0,0.0,,,,,,,CASH,,,,0.005,,,,,,,,,,,,,,USD,USD,0.005,,,,,,,,,,,,,0.0,L,,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,0.005,FFS,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,AV-US Value Factor ETF,,,,2022-07-11,USD,,,CASH,,,,,USD,USD,,USD,US,,,,,,FFS,,0.005,,,,CASHDEP,,,,,USD,1.0,1.0,,,,,,,,Cash Deposit,,,,,,,USD,,,,,,CRNY,1.0,,2022-07-11,,,,,US Dollar
-4533220.0,,EUR,,39.78,200.0,,,,,V1034474401,,,Active Rebalance,,MARGIN,,,,,DE,,,,2022-07-11,,,AAIZ,XEUE,,,MS_FUTURES,,,,,,,,,,,,,V1034474401,,,,Broker,,,,,,,AMSTERDAM IDX FUT Aug22,,,,1.17,EOQ2,,A131,EOD,,,,1.00835,,,,,A,,,,85081600_2,,,,No Fee,AAIZ,,,,,,,,,672.2165275,0.0,,,,,,,FT,V1034474401,,,-4571112.499163,ACT_REBAL,,,,,VEI0028803,,,,,,,,USD,EUR,-4533259.78,,,,,,,,,,,,,-4571072.387,L,2022-08-19,,,,,,,,,,,40.112163,,2022-07-11,,,,,,,,,,,,,,-4571112.499163,CRD,,,,,,,VEI0028803,,,0.0,,,,,,0.0,,,,,,,,,,2022-05-22,,,ASF Equity Futures,,,,2022-07-11,EUR,,XEUE,VID,,,N/A,,,EUR,,EUR,,,,Physical index future.,,,CRD,,-4533259.78,,,,BUYLFUT,,,,,,666.65,1.00835,,,,,,,,Buy/Open Long Future,Euronext Amsterdam Index Future,,,,,,EUR,,,,,,DE.IND,34.0,NLEN05957381,2022-07-11,,,,,AMSTERDAM IDX FUT Aug22
7360.0,,USD,,,40000.0,,,,,V1032154101,,,,,MARGIN,,,,,DE,,,,2022-07-11,,,ABER,XCME,,,,,,,,,,,,,,,,V1032154101,,,,,,,,,,,LEAN HOGS FUTURE  Aug22,,,,,LHQ2,,A131,EOD,,,,1.0,,,SL0051,,SL,,,,85071885_2,,,,,SL0051,,,,,,,,,1.0,0.0,,,,,,,FT,V1032154101,,,7360.0,,,,,,VEI0022680,,,,,,,,USD,USD,7360.0,,,,,,,,,,,,,7360.0,L,2022-08-12,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,7360.0,SMARTCO,,,,,,,VEI0022680,,,,,,,,,0.0,,,,,,,,,,2021-04-16,,,ASF Commodity Cayman,,,,2022-07-11,USD,,XCME,VID,,,N/A,,,USD,,USD,,,,Physical commodity future.,,,SmartCo,,7360.0,,,,MARGIN2,,,,,,1.0,1.0,,,,,,,,Margin Variation (Margin),CME Lean Hogs Future,,,,,,USD,,,,,,DE.COMM,0.184,,2022-07-11,,,,,LEAN HOGS FUTURE  Aug22
0.0,,USD,,,,,,,,,,,,,,,,,,,,,,2022-07-14,,,AAAX,,,,,,,,,,,,,,,,,CASHUSD,,,,,,,,,,,US Dollar,,,,,USD,,9811,EOD,,,,1.0,,,,,A,,,,85077973_2,,,,,AAAX,,,,,,,,,1.0,0.0,,,,,,,CASH,,,,-52426.29,,,,,,,,,,,,,,USD,USD,-52426.29,,,,,,,,,,,,,0.0,L,,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,-52426.29,ICAP,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,Explorer-Cash,,,,2022-07-11,USD,,,CASH,,,,,USD,USD,,USD,US,,,,,,ICAP,,-52426.29,,,,REDEMPTION,,,,,USD,1.0,1.0,,,,,,,,Redemption,,,,,,,USD,,,,,,CRNY,-52426.29,,2022-07-11,,,,,US Dollar
0.0,,USD,,,,,,,,,,,,,EXPENSE_USD,,,,,,,,,2022-07-11,,,AAAX,,,,,,,,,,,,,,,,,CASHUSD,,,,,,,,,,,US Dollar,,,,,USD,,9811,EOD,,,,1.0,,,,,A,,,,85073067_2,,,,,AAAX,,,,,,,,,1.0,0.0,,,,,,,CASH,,,,-1739.14,,,,,,,,,,,,,,USD,USD,-1739.14,,,,,,,,,,,,,0.0,L,,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,-1739.14,ABOR_GEN_LEDGER,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,Explorer-Cash,,,,2022-07-11,USD,,,CASH,,,,,USD,USD,,USD,US,,,,,,ABOR Gen Ledger,,-1739.14,,,,EXP_ACCRL,,,,,USD,1.0,1.0,,,,,,,,Expense Accrl (+),,,,,,,USD,,,,,,CRNY,-1739.14,,2022-07-11,,,,,US Dollar
0.0,,CAD,,,,,,,,,,,,,EXPENSE_CAD,,,,,,,,,2022-07-11,,,ABGR,,,,,,,,,,,,,,,,,CASHCAD,,,,,,,,,,,Canadian Dollar,,,,,CAD,,A214,EOD,,,,0.7694971336,,,,,A,,,,85074377_2,,,,,ABGR,,,,,,,,,0.7694971336,0.0,,,,,,,CASH,,,,-2445.915893889624,,,,,,,,,,,,,,USD,CAD,-3178.59,,,,,,,,,,,,,0.0,L,,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,-2445.915893889624,FFS,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,AV-Global Value Factor,,,,2022-07-11,CAD,,,CASH,,,,,CAD,CAD,,CAD,CA,,,,,,FFS,,-3178.59,,,,EXP_ACCRL,,,,,CAD,1.0,0.7694971336,,,,,,,,Expense Accrl (+),,,,,,,CAD,,,,,,CRNY,-3178.59,,2022-07-11,,,,,Canadian Dollar
0.0,,USD,,,,,,,,,,,,,MARGIN,,,,,,,,,2022-07-11,,,AAFB,,,,,,,,,,,,,,,,,MARGINUSD,,,,,,,,,,,Synthetic Cash - MARGIN US Dollar,,,,,,,9909,EOD,,,,1.0,,,,,A,,,,85078117_2,,,,,AAFB,,,,,,,,,1.0,0.0,,,,,,,CASH,,,,410000.0,,,,,,,,,,,,,,USD,USD,410000.0,,,,,,,,,,,,,0.0,L,,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,410000.0,CALYPSO,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,Equity Income-Cash,,,,2022-07-11,USD,,,NXCASHID,,,,,USD,USD,,USD,,,,,,,Calypso,,410000.0,,,,CSH2MGN,,,,,USD,1.0,1.0,,,,,,,,Margin (Transfer Cash to Margin),,,,,,,USD,,,,,,RF.CUR,410000.0,,2022-07-11,,,,,Synthetic Cash - MARGIN US Dollar
0.0,,USD,,,,,,,,,,,USPO Cash W/O,,,,,,,,,,,2022-07-11,,,AAIX,,,,,,,,,,,,,,,,,CASHUSD,,,,,,,,,,,US Dollar,,,,,USD,,A251,EOD,,,,1.0,,,,,A,,,,85086509_2,,,,,AAIX,,,,,,,,,1.0,0.0,,,,,,,CASH,,,,-0.005,,,,,,,,,,,,,,USD,USD,-0.005,,,,,,,,,,,,,0.0,L,,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,-0.005,FFS,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,AV-Global Dividend-QEG,,,,2022-07-11,USD,,,CASH,,,,,USD,USD,,USD,US,,,,,,FFS,,-0.005,,,,CASHWITH,,,,,USD,1.0,1.0,,,,,,,,Cash Withdrawal,,,,,,,USD,,,,,,CRNY,-1.0,,2022-07-11,,,,,US Dollar
0.0,,USD,,,,,,,,,,,,,EXPENSE_USD,,,,,,,,,2022-07-11,,,ABEO,,,,,,,,,,,,,,,,,CASHUSD,,,,,,,,,,,US Dollar,,,,,USD,,A131,EOD,,,,1.0,,,,,A,,,,85073129_2,,,,,ABEO,,,,,,,,,1.0,0.0,,,,,,,CASH,,,,-145.72,,,,,,,,,,,,,,USD,USD,-145.72,,,,,,,,,,,,,0.0,L,,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,-145.72,ABOR_GEN_LEDGER,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ASF Event Driven,,,,2022-07-11,USD,,,CASH,,,,,USD,USD,,USD,US,,,,,,ABOR Gen Ledger,,-145.72,,,,EXP_ACCRL,,,,,USD,1.0,1.0,,,,,,,,Expense Accrl (+),,,,,,,USD,,,,,,CRNY,-145.72,,2022-07-11,,,,,US Dollar
0.0,,USD,,,,,,,,,,,ICAP,,,,,,,,,,,2022-07-11,,,AAFB,,,,,,,,,,,,,,,,,CASHUSD,,,,,,,,,,,US Dollar,,,,,USD,,9909,EOD,,,,1.0,,,,,A,,,,85086822_2,,,,,AAFB,,,,,,,,,1.0,0.0,,,,,,,CASH,,,,-22347.27,,,,,,,,,,,,,,USD,USD,-22347.27,,,,,,,,,,,,,0.0,L,,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,-22347.27,FFS,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,Equity Income-Cash,,,,2022-07-11,USD,,,CASH,,,,,USD,USD,,USD,US,,,,,,FFS,,-22347.27,,,,CASHWITH,,,,,USD,1.0,1.0,,,,,,,,Cash Withdrawal,,,,,,,USD,,,,,,CRNY,-1.0,,2022-07-11,,,,,US Dollar
0.0,,USD,,,,,,,,,,,,,,,,,,,,,,2022-07-12,,,APDY,,,,,,,,,,,,,,,,,CASHUSD,,,,,,,,,,,US Dollar,,,,,USD,,9807,EOD,,,,1.0,,,,,A,,,,85076051_2,,,,,APDY,,,,,,,,,1.0,0.0,,,,,,,CASH,,,,-44963.02,,,,,,,,,,,,,,USD,USD,-44963.02,,,,,,,,,,,,,0.0,L,,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,-44963.02,ICAP,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,Grwth and Income - Cash,,,,2022-07-11,USD,,,CASH,,,,,USD,USD,,USD,US,,,,,,ICAP,,-44963.02,,,,REDEMPTION,,,,,USD,1.0,1.0,,,,,,,,Redemption,,,,,,,USD,,,,,,CRNY,-44963.02,,2022-07-11,,,,,US Dollar
0.0,,EUR,,,,,,,,,,,USPO Cash W/O,,,,,,,,,,,2022-07-11,,,AAFS,,,,,,,,,,,,,,,,,CASHEUR,,,,,,,,,,,Euro,,,,,EUR,,A124,EOD,,,,1.00835,,,,,A,,,,85086544_2,,,,,AAFS,,,,,,,,,1.00835,0.0,,,,,,,CASH,,,,-51.63256175,,,,,,,,,,,,,,USD,EUR,-51.205,,,,,,,,,,,,,0.0,L,,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,-51.63256175,FFS,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,AV-Global Min Volatililty,,,,2022-07-11,EUR,,,CASH,,,,,EUR,EUR,,EUR,XE,,,,,,FFS,,-51.205,,,,CASHWITH,,,,,EUR,1.0,1.00835,,,,,,,,Cash Withdrawal,,,,,,,EUR,,,,,,CRNY,-1.0,,2022-07-11,,,,,Euro
0.0,,,,4.69,,Health Care,Pharmaceuticals,3520,,V6312,,,Cashflow,,,,10005,,Corporate,EQ,Industrial,Pharmaceuticals,,2022-07-13,Consumer Non-Cyclical,,ABGS,XETR,,,REDBRN_ALGO,,,352020,0.0,,,N,,,,0.0,,5069211,,20220711085307UIDX_000001,,Broker,,,,,,,BAYER AG-REG,,,126,0.011301204819,BAYN,20044,A215,EOD,,,Pharmaceuticals,1.00835,,,,Medical-Drugs,A,,,,85081008_2,,,,No Fee,ABGS,,,,,,,,,56.9227913737,0.0,,,,D0712D163,2010,,EQ,V6312,,,-23627.6874505,CF,DE,D0712D163,,,VEI0038234,,Pharmaceuticals,,,Health Care,,,USD,EUR,-23432.03,,,,,,,325412,,0.0,BAYGn.DE,,,0.0,L,,,,,,,,,5069211,,,4.7291615,,2022-07-11,,,20103015,"Consumer, Non-cyclical",,,Medical-Drugs,,20,DE,BBG000BBWF85,,DE,-23627.6874505,CRD,,,,,,,VEI0038234,,,0.0,Medical-Drugs,,,0.0,CADE,0.0,,DE,,Health Care,,,,,CAD,,,,AV-Global Momentum Factor,,,,2022-07-11,EUR,201030,XETR,SEDOL,,,N/A,,EUR,EUR,,EUR,DE,,C,Common Stock,Pharmaceuticals & Biotechnology,,CRD,,-23432.03,35202010,"Pharmaceuticals, Biotechnology & Life Sciences",,BUYL,20220711085307UIDX,,CA,,EUR,56.451422,1.00835,,Pharmaceuticals,,982424082,,,,Buy/Open Long,Bayer AG,,,Common Stock,,,EUR,,0.0,,,,EQ.STOCK,415.0,DE000BAY0017,2022-07-11,549300J4U55H3WP1XT59,,,35,Bayer AG
0.0,,CAD,,,,,,,,,,,,,EXPENSE_CAD,,,,,,,,,2022-07-11,,,AAIY,,,,,,,,,,,,,,,,,CASHCAD,,,,,,,,,,,Canadian Dollar,,,,,CAD,,A251,EOD,,,,1.0,,,,,A,,,,85074367_2,,,,,AAIY,,,,,,,,,1.0,0.0,,,,,,,CASH,,,,-23.85,,,,,,,,,,,,,,CAD,CAD,-23.85,,,,,,,,,,,,,0.0,L,,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,-23.85,FFS,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,AV-Global Dividend-Cash,,,,2022-07-11,CAD,,,CASH,,,,,CAD,CAD,,CAD,CA,,,,,,FFS,,-23.85,,,,EXP_ACCRL,,,,,CAD,1.0,1.0,,,,,,,,Expense Accrl (+),,,,,,,CAD,,,,,,CRNY,-23.85,,2022-07-11,,,,,Canadian Dollar
7360.0,,USD,,,40000.0,,,,,V1032154101,,,,,MARGIN,,,,,DE,,,,2022-07-11,,,ABER,XCME,,,,,,,,,,,,,,,,V1032154101,,,,,,,,,,,LEAN HOGS FUTURE  Aug22,,,,,LHQ2,,A131,EOD,,,,1.0,,,,,A,,,,85071885_1,,,,,ABER,,,,,,,,,1.0,0.0,,,,,,,FT,V1032154101,,,7360.0,,,,,,VEI0022680,,,,,,,,USD,USD,7360.0,,,,,,,,,,,,,7360.0,L,2022-08-12,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,7360.0,SMARTCO,,,,,,,VEI0022680,,,,,,,,,0.0,,,,,,,,,,2021-04-16,,,ASF Commodity Basis,,,,2022-07-11,USD,,XCME,VID,,,N/A,,,USD,,USD,,,,Physical commodity future.,,,SmartCo,,7360.0,,,,MARGIN2,,,,,,1.0,1.0,,,,,,,,Margin Variation (Margin),CME Lean Hogs Future,,,,,,USD,,,,,,DE.COMM,0.184,,2022-07-11,,,,,LEAN HOGS FUTURE  Aug22
0.0,,USD,,,,,,,,,,,,,MARGIN,,,,,,,,,2022-07-11,,,AAHV,,,,,,,,,,,,,,,,,MARGINUSD,,,,,,,,,,,Synthetic Cash - MARGIN US Dollar,,,,,,,0161,EOD,,,,1.0,,,,,A,,,,85078197_2,,,,,AAHV,,,,,,,,,1.0,0.0,,,,,,,CASH,,,,20760.0,,,,,,,,,,,,,,USD,USD,20760.0,,,,,,,,,,,,,0.0,L,,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,20760.0,CALYPSO,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,Small Company - Cash,,,,2022-07-11,USD,,,NXCASHID,,,,,USD,USD,,USD,,,,,,,Calypso,,20760.0,,,,CSH2MGN,,,,,USD,1.0,1.0,,,,,,,,Margin (Transfer Cash to Margin),,,,,,,USD,,,,,,RF.CUR,20760.0,,2022-07-11,,,,,Synthetic Cash - MARGIN US Dollar
578887.5,,USD,,4.35,50.0,,,,,V1031983301,,,Cashflow,,MARGIN,,,,,DE,,,,2022-07-11,,,AAFS,XCME,,,ML_FUTURES,,,,,,,,,,,,,V1031983301,,,,Broker,,,,,,,S&P500 EMINI FUT  Sep22,,,,1.45,ESU2,,A124,EOD,,,,1.0,,,,,A,,,,85125626_2,,,,No Fee,AAFS,,,,,,,,,3859.25,0.0,,,,,,,FT,V1031983301,,,578883.15,,,,,,VEI0005366,,,,,,,,USD,USD,578883.15,,,,,,,,,,,,,578887.5,L,2022-09-16,,,,,,,,,,,4.35,,2022-07-11,,,,,,,,,,,,,,578883.15,CRD,,,,,,,VEI0005366,,,0.0,,,,,,0.0,,,,,,,,,,2021-06-07,,,AV-Global Min Volatililty,,,,2022-07-11,USD,,XCME,VID,,,N/A,,,USD,,USD,,,,Physical index future.,,,CRD,,578883.15,,,,SELLLFUT,,,,,,3859.25,1.0,,,,,,,,Sell/Close Long Future,CME E-Mini Standard & Poor's 500 Index Future,,,,,,USD,,,,,,DE.IND,-3.0,,2022-07-11,,,,,S&P500 EMINI FUT  Sep22
0.0,,CAD,,,,,,,,,,,,,,,,,,,,,,2022-07-13,,,AAJD,,,,,,,,,,,,,,,,,CASHCAD,,,,,,,,,,,Canadian Dollar,,,,,CAD,,A252,EOD,,,,1.0,,,,,A,,,,85079230_2,,,,,AAJD,,,,,,,,,1.0,0.0,,,,,,,CASH,,,,-24178.33,,,,,,,,,,,,,,CAD,CAD,-24178.33,,,,,,,,,,,,,0.0,L,,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,-24178.33,ICAP,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,AV-Windsor US Value-Cash,,,,2022-07-11,CAD,,,CASH,,,,,CAD,CAD,,CAD,CA,,,,,,ICAP,,-24178.33,,,,REDEMPTION,,,,,CAD,1.0,1.0,,,,,,,,Redemption,,,,,,,CAD,,,,,,CRNY,-24178.33,,2022-07-11,,,,,Canadian Dollar
